id,name
0,Death Note
1,Shingeki no Kyojin
2,Sword Art Online
3,Fullmetal Alchemist: Brotherhood
4,Angel Beats!
5,Code Geass: Hangyaku no Lelouch
6,Naruto
7,SteinsGate
8,Mirai Nikki (TV)
9,Toradora!
10,Bleach
11,Elfen Lied
12,Tokyo Ghoul
13,No Game No Life
14,Fullmetal Alchemist
15,Fairy Tail
16,Ao no Exorcist
17,Soul Eater
18,Code Geass: Hangyaku no Lelouch R2
19,Clannad
20,Tengen Toppa Gurren Lagann
21,Durarara!!
22,One Punch Man
23,Sword Art Online II
24,Highschool of the Dead
25,Another
26,Naruto: Shippuuden
27,Noragami
28,Psycho-Pass
29,Kill la Kill
30,One Piece
31,Akame ga Kill!
32,Cowboy Bebop
33,Bakemonogatari
34,Sen to Chihiro no Kamikakushi
35,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai
36,Mahou Shoujo MadokaMagica
37,Neon Genesis Evangelion
38,Guilty Crown
39,Clannad: After Story
40,FateZero
41,Deadman Wonderland
42,Darker than Black: Kuro no Keiyakusha
43,Suzumiya Haruhi no Yuuutsu
44,Hunter x Hunter (2011)
45,Kiseijuu: Sei no Kakuritsu
46,Kuroshitsuji
47,Ouran Koukou Host Club
48,Shigatsu wa Kimi no Uso
49,Hataraku Maou-sama!
50,Tokyo Ghoul A
51,Boku dake ga Inai Machi
52,High School DxD
53,Chuunibyou demo Koi ga Shitai!
54,Kaichou wa Maid-sama!
55,Samurai Champloo
56,Log Horizon
57,K-On!
58,Death Parade
59,Sakurasou no Pet na Kanojo
60,Dragon Ball Z
61,Fatestay night
62,Hyouka
63,Baccano!
64,Higurashi no Naku Koro ni
65,Kyoukai no Kanata
66,Re:Zero kara Hajimeru Isekai Seikatsu
67,Yahari Ore no Seishun Love Comedy wa Machigatteiru
68,Tonari no Kaibutsu-kun
69,Shokugeki no Souma
70,Nisekoi
71,Zero no Tsukaima
72,Zankyou no Terror
73,FateZero 2nd Season
74,Mononoke Hime
75,Kuroko no Basket
76,Gintama
77,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
78,Ookami to Koushinryou
79,DGray-man
80,Howl no Ugoku Shiro
81,Black Lagoon
82,Nanatsu no Taizai
83,Btooom!
84,Boku wa Tomodachi ga Sukunai
85,Accel World
86,Byousoku 5 Centimeter
87,Ore no Imouto ga Konnani Kawaii Wake ga Nai
88,Black Bullet
89,Magi: The Labyrinth of Magic
90,Claymore
91,Dragon Ball
92,Owari no Seraph
93,Toaru Majutsu no Index
94,Ansatsu Kyoushitsu (TV)
95,Charlotte
96,Kimi ni Todoke
97,Hellsing
98,LuckyStar
99,FLCL
100,Date A Live
101,Baka to Test to Shoukanjuu
102,Mushishi
103,Noragami Aragoto
104,Rosario to Vampire
105,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
106,Hellsing Ultimate
107,Shakugan no Shana
108,K
109,Kore wa Zombie Desu ka
110,Gekkan Shoujo Nozaki-kun
111,NHK ni Youkoso!
112,Toki wo Kakeru Shoujo
113,Shinsekai yori
114,Vampire Knight
115,Mahouka Koukou no Rettousei
116,Kami nomi zo Shiru Sekai
117,Haikyuu!!
118,Kokoro Connect
119,Trigun
120,Boku no Hero Academia
121,InuYasha
122,School Days
123,Higashi no Eden
124,Golden Time
125,Tonari no Totoro
126,Great Teacher Onizuka
127,Fatestay night: Unlimited Blade Works
128,Chobits
129,High School DxD New
130,Free!
131,Ergo Proxy
132,Nisemonogatari
133,Zetsuen no Tempest
134,Danshi Koukousei no Nichijou
135,Katekyo Hitman Reborn!
136,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
137,Full Metal Panic!
138,Fairy Tail (2014)
139,IS: Infinite Stratos
140,Nichijou
141,Koutetsujou no Kabaneri
142,Shiki
143,Monster
144,Bakuman
145,K-On!!
146,Magi: The Kingdom of Magic
147,Kono Subarashii Sekai ni Shukufuku wo!
148,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
149,Overlord
150,AldnoahZero
151,Suzumiya Haruhi no Yuuutsu (2009)
152,Kuroko no Basket 2nd Season
153,Fruits Basket
154,Blood Lad
155,Suzumiya Haruhi no Shoushitsu
156,Eureka Seven
157,To LOVE-Ru
158,Zero no Tsukaima: Futatsuki no Kishi
159,LovelyComplex
160,Kuroshitsuji II
161,Sukitte Ii na yo
162,Gosick
163,Strike the Blood
164,Toaru Kagaku no Railgun
165,Pandora Hearts
166,Pokemon
167,Psycho-Pass 2
168,Prison School
169,Sora no Otoshimono
170,Ao Haru Ride
171,Dragon Ball GT
172,Berserk
173,Ookami Kodomo no Ame to Yuki
174,Barakamon
175,Nagi no Asukara
176,Summer Wars
177,Ghost in the Shell
178,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku
179,Sankarea
180,Darker than Black: Ryuusei no Gemini
181,Kekkai Sensen
182,Rurouni Kenshin: Meiji Kenkaku Romantan
183,Rokka no Yuusha
184,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo
185,Higurashi no Naku Koro ni Kai
186,Beelzebub
187,Seitokai Yakuindomo
188,Amagi Brilliant Park
189,Akatsuki no Yona
190,Inu x Boku SS
191,Akira
192,Serial Experiments Lain
193,Log Horizon 2nd Season
194,Neon Genesis Evangelion: The End of Evangelion
195,Kiss x Sis (TV)
196,Boku wa Tomodachi ga Sukunai Next
197,Plastic Memories
198,Hai to Gensou no Grimgar
199,Zero no Tsukaima: Princesses no Rondo
200,Gangsta
201,Natsume Yuujinchou
202,Ookami to Koushinryou II
203,Chuunibyou demo Koi ga Shitai! Ren
204,Trinity Seven
205,Blood
206,Katanagatari
207,Fatestay night: Unlimited Blade Works 2nd Season
208,Monogatari Series: Second Season
209,Kaze no Stigma
210,Rosario to Vampire Capu2
211,Ichiban Ushiro no Daimaou
212,Black Lagoon: The Second Barrage
213,ReLIFE
214,Hentai Ouji to Warawanai Neko
215,Ore Monogatari!!
216,Kimi no Na wa
217,BlackRock Shooter (TV)
218,Mekakucity Actors
219,Vampire Knight Guilty
220,Kiznaiver
221,Hotarubi no Mori e
222,Nana
223,YuuYuuHakusho
224,Usagi Drop
225,Ore no Imouto ga Konnani Kawaii Wake ga Nai
226,Air Gear
227,Evangelion: 10 You Are (Not) Alone
228,Ghost in the Shell: Stand Alone Complex
229,Kami nomi zo Shiru Sekai II
230,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
231,Mob Psycho 100
232,Yamada-kun to 7-nin no Majo (TV)
233,B Gata H Kei
234,God Eater
235,SteinsGate Movie: Fuka Ryouiki no Déjà vu
236,Mayo Chiki!
237,High School DxD BorN
238,JoJo no Kimyou na Bouken (TV)
239,Owari no Seraph: Nagoya Kessen-hen
240,Kotonoha no Niwa
241,Kamisama Hajimemashita
242,Durarara!!x2 Shou
243,Working!!
244,Air
245,Rakudai Kishi no Cavalry
246,Bungou Stray Dogs
247,Fullmetal Alchemist: The Conqueror of Shamballa
248,Date A Live II
249,Shokugeki no Souma: Ni no Sara
250,Shakugan no Shana II (Second)
251,Kuroko no Basket 3rd Season
252,Toaru Majutsu no Index II
253,Baka to Test to Shoukanjuu Ni!
254,Sekirei
255,Evangelion: 20 You Can (Not) Advance
256,Digimon Adventure
257,Monster Musume no Iru Nichijou
258,Cardcaptor Sakura
259,Nisekoi:
260,Kore wa Zombie Desu ka of the Dead
261,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru"
262,Haikyuu!! Second Season
263,Kara no Kyoukai 1: Fukan Fuukei
264,School Rumble
265,Grisaia no Kajitsu
266,Ansatsu Kyoushitsu (TV) 2nd Season
267,Hotaru no Haka
268,Sayonara Zetsubou Sensei
269,ChäoSHEAd
270,Zero no Tsukaima F
271,Special A
272,Nekomonogatari: Kuro
273,"Yosuga no Sora: In Solitude, Where We Are Least Alone"
274,Jigoku Shoujo
275,Tasogare Otome x Amnesia
276,Shinmai Maou no Testament
277,Hidan no Aria
278,Kimi ni Todoke 2nd Season
279,Wolfs Rain
280,Sakamoto desu ga
281,Tokyo Ravens
282,Full Metal Panic Fumoffu
283,Azumanga Daioh
284,Suisei no Gargantia
285,Ano Natsu de Matteru
286,"Dakara Boku wa, H ga Dekinai"
287,Shaman King
288,Absolute Duo
289,Gakusen Toshi Asterisk
290,Musaigen no Phantom World
291,No6
292,Devil May Cry
293,Hunter x Hunter
294,Orange
295,Gantz
296,Seto no Hanayome
297,Hitsugi no Chaika
298,Maoyuu Maou Yuusha
299,Paprika
300,Kanon (2006)
301,Arakawa Under the Bridge
302,Ajin
303,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen"
304,Gokukoku no Brynhildr
305,Bokura wa Minna Kawaisou
306,SteinsGate: Oukoubakko no Poriomania
307,Freezing
308,Phantom: Requiem for the Phantom
309,Shuffle!
310,Chihayafuru
311,Himouto! Umaru-chan
312,Hajime no Ippo
313,Panty &amp Stocking with Garterbelt
314,Akagami no Shirayuki-hime
315,Amagami SS
316,Nodame Cantabile
317,C: The Money of Soul and Possibility Control
318,Mawaru Penguindrum
319,Love Hina
320,Ore no Kanojo to Osananajimi ga Shuraba Sugiru
321,Hagure Yuusha no Aesthetica
322,Saenai Heroine no Sodatekata
323,Full Metal Panic! The Second Raid
324,Love Live! School Idol Project
325,Haiyore! Nyaruko-san
326,D-Frag!
327,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season"
328,Arslan Senki (TV)
329,Majo no Takkyuubin
330,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou
331,Bleach Movie 1: Memories of Nobody
332,Bakuman 2nd Season
333,Gintama
334,ef: A Tale of Memories
335,Tenkuu no Shiro Laputa
336,xxxHOLiC
337,Free!: Eternal Summer
338,Black Cat
339,Hanasaku Iroha
340,Denpa Onna to Seishun Otoko
341,AldnoahZero 2nd Season
342,Beck
343,Yuru Yuri
344,IS: Infinite Stratos 2
345,Shirobako
346,Sora no Otoshimono: Forte
347,Kämpfer
348,Sakamichi no Apollon
349,Ben-To
350,Bishoujo Senshi Sailor Moon
351,Ookami-san to Shichinin no Nakama-tachi
352,Seikon no Qwaser
353,Dagashi Kashi
354,Ookami Shoujo to Kuro Ouji
355,Ga-Rei: Zero
356,Hetalia Axis Powers
357,Inou-Battle wa Nichijou-kei no Naka de
358,Shingeki no Bahamut: Genesis
359,Kaze no Tani no Nausicaä
360,Kami nomi zo Shiru Sekai: Megami-hen
361,Nyan Koi!
362,Chrno Crusade
363,91 Days
364,Highschool of the Dead: Drifters of the Dead
365,Gake no Ue no Ponyo
366,Gakkougurashi!
367,Isshuukan Friends
368,Rainbow: Nisha Rokubou no Shichinin
369,Angel Beats! Specials
370,Final Fantasy VII: Advent Children
371,Little Busters!
372,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen"
373,Mousou Dairinin
374,Cowboy Bebop: Tengoku no Tobira
375,Jormungand
376,Toaru Kagaku no Railgun S
377,Netoge no Yome wa Onnanoko ja Nai to Omotta
378,Machine-Doll wa Kizutsukanai
379,Itazura na Kiss
380,Darker than Black: Kuro no Keiyakusha Gaiden
381,To LOVE-Ru Darkness
382,Mahou Shoujo MadokaMagica Movie 3: Hangyaku no Monogatari
383,Afro Samurai
384,Mirai Nikki Redial
385,Evangelion: 30 You Can (Not) Redo
386,Code:Breaker
387,Motto To LOVE-Ru
388,Persona 4 the Animation
389,Skip Beat!
390,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru
391,Tsubasa Chronicle
392,Hibike! Euphonium
393,Amnesia
394,Angel Beats!: Another Epilogue
395,11eyes
396,Bakuman 3rd Season
397,Hamatora The Animation
398,Non Non Biyori
399,Mikakunin de Shinkoukei
400,Oda Nobuna no Yabou
401,Shakugan no Shana III (Final)
402,Durarara!!x2 Ten
403,YuGiOh! Duel Monsters
404,Outbreak Company
405,Densetsu no Yuusha no Densetsu
406,BlackRock Shooter (OVA)
407,Hachimitsu to Clover
408,Kamisama no Memochou
409,Hayate no Gotoku!
410,Dimension W
411,MM!
412,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
413,Shijou Saikyou no Deshi Kenichi
414,Sousei no Onmyouji
415,Rozen Maiden
416,Tamako Market
417,Acchi Kocchi (TV)
418,Akuma no Riddle
419,DNAngel
420,Umineko no Naku Koro ni
421,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou
422,Ghost Hunt
423,07-Ghost
424,Kiss x Sis
425,Stranger: Mukou Hadan
426,Bokura ga Ita
427,Hanamonogatari
428,Seirei Tsukai no Blade Dance
429,Kotoura-san
430,SpaceDandy
431,Canaan
432,Nurarihyon no Mago
433,Kuroshitsuji: Book of Circus
434,Yojouhan Shinwa Taikei
435,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu
436,Kanokon
437,Danna ga Nani wo Itteiru ka Wakaranai Ken
438,Kamisama no Inai Nichiyoubi
439,Sword Art Online: Extra Edition
440,Tokyo Magnitude 80
441,Shugo Chara!
442,Shingeki no Kyojin OVA
443,Dance in the Vampire Bund
444,Haibane Renmei
445,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!
446,Mobile Suit Gundam 00
447,Digimon Adventure 02
448,JoJo no Kimyou na Bouken: Stardust Crusaders
449,Omamori Himari
450,True Tears
451,Blood-C
452,Sidonia no Kishi
453,Junjou Romantica
454,Perfect Blue
455,Working!!
456,Binbougami ga!
457,Mayoiga
458,Bokusatsu Tenshi Dokuro-chan
459,Dragon Ball Kai
460,Maji de Watashi ni Koi Shinasai!
461,Gin no Saji
462,Elfen Lied Special
463,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita
464,Durarara!!x2 Ketsu
465,K-On! Movie
466,Myself Yourself
467,K: Return of Kings
468,Detective Conan
469,Madan no Ou to Vanadis
470,Kara no Kyoukai 2: Satsujin Kousatsu (Zen)
471,Gintama
472,Mirai Nikki
473,Zoku Natsume Yuujinchou
474,Ghost in the Shell: Stand Alone Complex 2nd GIG
475,Sekirei: Pure Engagement
476,Trinity Blood
477,Oniichan dakedo Ai Sae Areba Kankeinai yo ne!
478,Golden Boy
479,Grisaia no Rakuen
480,Little Witch Academia
481,Dragon Ball Super
482,Kara no Kyoukai 5: Mujun Rasen
483,Tsukimonogatari
